Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Signal,Position,Stock_Returns,Strategy_Returns,Cumulative_Stock_Returns,Cumulative_Strategy_Returns
2000-10-17,37.5,37.625,35.0625,35.125,21.10222625732422,13126400,,35.125,,35.125,35.125,0.0,0.0,0,0.0,,,,
2000-10-18,35.25,36.5625,34.75,36.5,21.92829132080078,13906400,,35.33653846153846,,35.33653846153846,35.22685185185185,0.10968660968661226,0.02193732193732245,1,0.0,0.039145907473309594,0.0,0.039145907473309594,0.0
2000-10-19,37.625,38.75,37.0625,38.625,23.204933166503906,12302400,,35.842455621301774,,35.842455621301774,35.478566529492454,0.3638890918093196,0.09032767591172189,0,1.0,0.05821917808219168,0.05821917808219168,0.0996441281138789,0.05821917808219168
2000-10-20,38.625,40.625,38.25,39.4375,23.69306755065918,9776600,,36.39553937187073,,36.39553937187073,35.771820860641164,0.6237185112295691,0.19700584297529133,0,1.0,0.021035598705501535,0.021035598705501535,0.12277580071174365,0.08047945205479423
2000-10-23,40.625,41.625,40.0625,40.5625,24.36894989013672,7514900,,37.036610237736774,,37.036610237736774,36.126685982075145,0.9099242556616289,0.33958952551255883,0,1.0,0.028526148969889142,0.028526148969889142,0.15480427046263334,0.11130136986301342
2000-10-24,41.3125,41.3125,38.75,39.25,23.58043098449707,11845200,,37.37713173962342,,37.37713173962342,36.358042575995505,1.0190891636279176,0.47548945313563057,0,1.0,-0.03235747303543912,-0.03235747303543912,0.11743772241992878,0.07534246575342451
2000-10-25,38.75,39.1875,38.3125,38.375,23.054744720458984,6196400,,37.53064993352751,,37.53064993352751,36.50744682962547,1.0232031039020413,0.5850321832889127,0,1.0,-0.022292993630573243,-0.022292993630573243,0.092526690391459,0.0513698630136985
2000-10-26,38.5,39.25,38.4375,38.9375,23.392681121826172,6469300,,37.74708840529251,,37.74708840529251,36.687450768171736,1.0596376371207725,0.6799532740552847,0,1.0,0.014657980456026065,0.014657980456026065,0.10854092526690384,0.0667808219178081
2000-10-27,38.75,39.8125,38.25,39.375,23.65552520751953,5017600,,37.99753634293982,,37.99753634293982,36.886528489047905,1.1110078538919126,0.7661641900226104,0,1.0,0.011235955056179803,0.011235955056179803,0.12099644128113884,0.07876712328767121
2000-10-30,39.75,42.0625,39.75,40.9375,24.594226837158203,8475400,38.7125,38.449838444026,,38.449838444026,37.186600452822134,1.2632379912038658,0.8655789502588616,0,1.0,0.039682539682539764,0.039682539682539764,0.16548042704626353,0.12157534246575352
2000-10-31,42.5,43.625,42.0,43.0,25.83333969116211,7567900,39.5,39.149863298791225,,39.149863298791225,37.617222641501975,1.5326406572892495,0.9989912916649393,0,1.0,0.05038167938931304,0.05038167938931304,0.22419928825622804,0.17808219178082219
2000-11-01,43.0,44.3125,42.5625,44.0625,26.471649169921875,6781100,40.25625,39.90565356051565,,39.90565356051565,38.09465059398331,1.8110029665323424,1.16139362663842,0,1.0,0.024709302325581328,0.024709302325581328,0.2544483985765127,0.20719178082191791
2000-11-02,43.75,43.8125,42.125,42.75,25.683141708374023,8273900,40.66875,40.343245320436324,,40.343245320436324,38.439491290725286,1.9037540297110382,1.3098657072529436,0,1.0,-0.029787234042553234,-0.029787234042553234,0.2170818505338079,0.17123287671232879
2000-11-03,42.5,42.625,40.8125,41.25,24.781970977783203,5857800,40.85,40.4827460403692,,40.4827460403692,38.64767712104193,1.83506891932727,1.4149063496678091,0,1.0,-0.03508771929824561,-0.03508771929824561,0.17437722419928825,0.13013698630136994
2000-11-06,41.6875,42.0,40.6875,41.3125,24.81953239440918,6531600,40.925,40.610400495697014,,40.610400495697014,38.845071408372156,1.765329087324858,1.484990897199219,0,1.0,0.0015151515151514694,0.0015151515151514694,0.17615658362989328,0.13184931506849318
2000-11-07,42.0,42.125,40.9375,41.375,24.857072830200195,3723100,41.1375,40.728031188666705,,40.728031188666705,39.032473526270515,1.6955576623961903,1.5271042502386134,0,1.0,0.001512859304084735,0.001512859304084735,0.17793594306049831,0.13356164383561642
2000-11-08,41.9375,42.5625,41.25,41.25,24.781970977783203,5220600,41.425,40.808334082717984,,40.808334082717984,39.196734746546774,1.61159933617121,1.5440032674251327,0,1.0,-0.0030211480362537513,-0.0030211480362537513,0.17437722419928847,0.13013698630136994
2000-11-09,40.0,40.125,38.625,38.8125,23.317584991455078,7868600,41.4125,40.50128268537676,,40.50128268537676,39.16827291346924,1.3330097719075198,1.5018045683216101,-1,1.0,-0.05909090909090908,-0.05909090909090908,0.10498220640569422,0.06335616438356162
2000-11-10,37.0,37.5,36.1875,36.25,21.77811050415039,12460000,41.1,39.8472391953188,,39.8472391953188,38.952104549508554,0.8951346458102449,1.3804705838193372,0,-1.0,-0.06602254428341381,0.06602254428341381,0.03202846975088991,0.1335616438356162
2000-11-13,35.5,38.1875,35.4375,37.375,22.453975677490234,16025400,40.74375,39.46689470373129,,39.46689470373129,38.8352819902857,0.6316127134455911,1.230699009744588,0,-1.0,0.03103448275862064,-0.03103448275862064,0.0640569395017796,0.09838214454416616
2000-11-14,40.0,40.75,39.0625,39.1875,23.542879104614258,11823600,40.3625,39.42391090315724,,39.42391090315724,38.861372213227504,0.5625386899297382,1.097066945781618,0,-1.0,0.04849498327759205,-0.04849498327759205,0.11565836298932419,0.045116120812091154
2000-11-15,40.0,40.375,38.3125,39.625,23.80571174621582,10061600,39.91875,39.4548476872869,,39.4548476872869,38.91793723446991,0.5369104528169899,0.9850356471886924,0,-1.0,0.011164274322169154,-0.011164274322169154,0.1281138790035592,0.03344815774082366
2000-11-16,39.6875,39.9375,39.1875,39.1875,23.542879104614258,5515400,39.5625,39.41371727385815,,39.41371727385815,38.9379048467314,0.47581242712674765,0.8831910031763035,0,-1.0,-0.01104100946372244,0.01104100946372244,0.11565836298932419,0.04485846863070653
2000-11-17,39.375,39.75,38.3125,38.8125,23.317584991455078,7022900,39.31875,39.321222308649205,,39.321222308649205,38.92861559882537,0.3926067098238377,0.7850741445058104,0,-1.0,-0.009569377990430672,0.009569377990430672,0.10498220640569422,0.054857114263536344
2000-11-20,38.8125,39.25,38.3125,38.875,23.35512924194336,5796900,39.075,39.25257272270318,,39.25257272270318,38.924644072986446,0.32792864971673197,0.6936450455479948,0,-1.0,0.0016103059581320522,-0.0016103059581320522,0.10676156583629925,0.053158471567459786
2000-11-21,39.0,39.75,37.375,38.25,22.979660034179688,7188100,38.7625,39.09833076536423,,39.09833076536423,38.874670437950414,0.22366032741381758,0.5996481019211594,0,-1.0,-0.01607717041800638,0.01607717041800638,0.08896797153024938,0.0700902797920171
2000-11-22,38.25,38.3125,36.6875,36.75,22.078487396240234,5832700,38.3125,38.73704910915435,,38.73704910915435,38.71728744254668,0.019761666607671202,0.48367081485846175,0,-1.0,-0.039215686274509776,0.039215686274509776,0.04626334519572972,0.11205460448974303
2000-11-24,38.5,38.5,37.375,37.5,22.52907371520996,3615300,38.18125,38.54673386159214,,38.54673386159214,38.62711800235804,-0.08038414076590072,0.3708598237335893,0,-1.0,0.020408163265306145,-0.020408163265306145,0.06761565836298944,0.08935961256138092
2000-11-27,39.4375,39.4375,38.25,38.75,23.280040740966797,7418800,38.43125,38.578005575193345,,38.578005575193345,38.63622037255374,-0.05821479736039237,0.28504489951479295,0,-1.0,0.03333333333333344,-0.03333333333333344,0.10320284697508919,0.0530476254760015
2000-11-28,39.0,40.5,38.75,39.5625,23.792728424072266,7382700,38.65,38.72946625593283,,38.72946625593283,38.7048336782905,0.024632577642329068,0.23296243514030018,0,-1.0,0.020967741935483897,-0.020967741935483897,0.12633451957295394,0.030967594619246697
2000-11-29,40.125,40.375,39.625,40.0,24.055849075317383,7667000,38.73125,38.92493298578931,,38.92493298578931,38.80077192434305,0.12416106144625871,0.21120216040149192,0,-1.0,0.011058451816745585,-0.011058451816745585,0.13879003558718872,0.01956668914952364
2000-11-30,39.75,40.0,38.75,39.1875,23.567203521728516,7619600,38.6875,38.96532791105249,,38.96532791105249,38.82941844846579,0.135909462586703,0.19614362083853415,0,-1.0,-0.020312499999999956,0.020312499999999956,0.11565836298932397,0.04027663752287336
2000-12-01,39.25,40.0625,38.9375,38.9375,23.416852951049805,5532200,38.6625,38.96104669396749,,38.96104669396749,38.83742448932018,0.12362220464731166,0.18163933760028966,0,-1.0,-0.006379585326953707,0.006379585326953707,0.10854092526690406,0.046913171095587014
2000-12-04,39.0,40.9375,38.75,40.75,24.506872177124023,8811100,38.85625,39.23627027951095,,39.23627027951095,38.979096749370534,0.2571735301404132,0.19674617610831438,1,-1.0,0.0465489566613162,-0.0465489566613162,0.16014234875444844,-0.0018195447339025561
